time,LF,RF,LR,RR,LT,RT,distRight,distLeft,thetaRight,thetaLeft,theta,distance,turn,velocity,targetDist,startTurn,stopTurn,targetTheta
1.38614184E12,3.0961063,8.443095,12.55315,18.2516,0.0,1.0,13.347348,7.8246284,1.3747817,-1.239755,1.3747817,13.347348,2000.0,1500.0,20.0,0.0,0.0,-0.17201582
1.38614184E12,3.3760974,7.0086637,12.736953,16.864187,0.0,1.0,11.936425,8.056525,1.4006044,-1.2113324,1.4006044,11.936425,2000.0,1500.0,20.0,0.0,0.0,-0.20849767
1.38614184E12,3.1263123,6.932552,12.580885,16.789362,0.0,1.0,11.860957,7.8535986,1.4013668,-1.2389957,1.4013668,11.860957,2000.0,1500.0,20.0,0.0,0.0,-0.21044903
1.38614184E12,3.3655818,7.2982492,12.720617,17.139431,0.0,1.0,12.21884,8.043099,1.3923357,-1.2096815,1.3923357,12.21884,2000.0,1500.0,20.0,0.0,0.0,-0.20119536
1.38614184E12,3.1586888,7.6833234,12.578866,17.527172,0.0,1.0,12.6052475,7.8687773,1.3938442,-1.2285933,1.3938442,12.6052475,2000.0,1500.0,20.0,0.0,0.0,-0.19120412
1.38614184E12,3.040538,8.455105,12.489724,18.257746,0.0,1.0,13.356425,7.765131,1.371793,-1.2373458,1.371793,13.356425,2000.0,1500.0,20.0,0.0,0.0,-0.17178112
1.38614184E12,3.2011564,7.166001,12.584975,17.018843,0.0,1.0,12.092422,7.8930655,1.3990282,-1.217918,1.3990282,12.092422,2000.0,1500.0,20.0,0.0,0.0,-0.20446412
1.38614184E12,2.879079,7.2473416,12.353713,17.098785,0.0,1.0,12.173064,7.6163964,1.3982131,-1.2452103,1.3982131,12.173064,2000.0,1500.0,20.0,0.0,0.0,-0.20237897
1.38614184E12,3.2106175,6.5394764,12.586938,16.39859,0.0,1.0,11.469033,7.898778,1.4027376,-1.2157549,1.4027376,11.469033,2000.0,1500.0,20.0,0.0,0.0,-0.2205829
1.38614184E12,3.0077925,7.989928,12.465879,17.823282,0.0,1.0,12.906605,7.736836,1.3879789,-1.240076,1.3879789,12.906605,2000.0,1500.0,20.0,0.0,0.0,-0.183412
1.38614184E12,3.2378743,7.5919924,12.618316,17.437447,0.0,1.0,12.51472,7.928095,1.3947595,-1.2169421,1.3947595,12.51472,2000.0,1500.0,20.0,0.0,0.0,-0.19354486
1.38614184E12,3.0457494,7.6147723,12.519183,17.454996,0.0,1.0,12.534884,7.7824664,1.3917978,-1.2448353,1.3917978,12.534884,2000.0,1500.0,20.0,0.0,0.0,-0.19302347
1.38614184E12,3.349542,7.6833234,12.712892,17.527172,0.0,1.0,12.6052475,8.031217,1.3938442,-1.2120422,1.3938442,12.6052475,2000.0,1500.0,20.0,0.0,0.0,-0.19120412
1.38614184E12,3.434811,7.7978544,12.796982,17.634745,0.0,1.0,12.716299,8.115896,1.3899342,-1.2117065,1.3899342,12.716299,2000.0,1500.0,20.0,0.0,0.0,-0.18833268
1.38614184E12,3.2104154,7.2982492,12.63255,17.139431,0.0,1.0,12.21884,7.921483,1.3923357,-1.2291774,1.3923357,12.21884,2000.0,1500.0,20.0,0.0,0.0,-0.20119536
1.38614184E12,3.208946,7.9120483,12.611758,17.741772,0.0,1.0,12.82691,7.910352,1.3859928,-1.2234555,1.3859928,12.82691,2000.0,1500.0,20.0,0.0,0.0,-0.18547264
1.38614184E12,3.0247333,7.526408,12.481428,17.36823,0.0,1.0,12.447319,7.753081,1.3926971,-1.2396477,1.3926971,12.447319,2000.0,1500.0,20.0,0.0,0.0,-0.19528763
1.38614184E12,3.1602595,6.78517,12.567397,16.64446,0.0,1.0,11.714815,7.8638287,1.402843,-1.2247286,1.402843,11.714815,2000.0,1500.0,20.0,0.0,0.0,-0.21422778
1.38614184E12,3.2750401,6.932552,12.611481,16.789362,0.0,1.0,11.860957,7.9432607,1.4013668,-1.2044549,1.4013668,11.860957,2000.0,1500.0,20.0,0.0,0.0,-0.21044903
1.38614184E12,3.2106175,7.1135864,12.586938,16.962763,0.0,1.0,12.038175,7.898778,1.3968978,-1.2157549,1.3968978,12.038175,2000.0,1500.0,20.0,0.0,0.0,-0.20586675
